,WELL ID,genotype,replicate,antibody,concentration,units,Cells,Single Cells,Single Cells2,ACE2pos,APC_geomean,PE_geomean,bin1,bin2,bin3,bin4,mean_bin
Specimen_001_A1_A01.fcs,A1,untransfected,1,CR3022,0,ng_per_mL,48.8,93.4,97.2,0.3,129,917,58.6,34.5,3.45,0,1.428793371
Specimen_001_A2_A02.fcs,A2,untransfected,1,CR3022,0.00512,ng_per_mL,54.4,94.8,97.9,0.32,100,974,61.3,35.5,3.23,0,1.419474158
Specimen_001_A3_A03.fcs,A3,untransfected,1,CR3022,0.0256,ng_per_mL,50.7,93,97.6,0.27,103,920,51.9,48.1,0,0,1.481
Specimen_001_A4_A04.fcs,A4,untransfected,1,CR3022,0.128,ng_per_mL,49.8,92.9,97.5,0.4,104,810,64.1,35.9,0,0,1.359
Specimen_001_A5_A05.fcs,A5,untransfected,1,CR3022,0.64,ng_per_mL,46.9,92.8,97.7,0.31,85.8,856,61.5,34.6,0,0,1.360041623
Specimen_001_A6_A06.fcs,A6,untransfected,1,CR3022,3.2,ng_per_mL,45.9,93.3,97.8,0.74,114,745,48.4,50,0,0,1.508130081
Specimen_001_A7_A07.fcs,A7,untransfected,1,CR3022,16,ng_per_mL,51.9,93.5,97.5,0.27,115,1067,44.4,55.6,0,0,1.556
Specimen_001_A8_A08.fcs,A8,untransfected,1,CR3022,80,ng_per_mL,47.5,93.1,97.8,0.48,81.1,970,66.7,31.2,2.08,0,1.353670734
Specimen_001_A9_A09.fcs,A9,untransfected,1,CR3022,400,ng_per_mL,50.2,93,97.6,0.41,98.6,879,56.1,43.9,0,0,1.439
Specimen_001_A10_A10.fcs,A10,untransfected,1,CR3022,2000,ng_per_mL,48.3,93.1,97.8,0.37,129,848,59.5,40.5,0,0,1.405
Specimen_001_A11_A11.fcs,A11,untransfected,1,CR3022,10000,ng_per_mL,43.8,93.2,98.1,0.3,142,1009,50,50,0,0,1.5
Specimen_001_A12_A12.fcs,A12,untransfected,1,CR3022,NA,ng_per_mL,48.6,94.2,97.8,0.24,138,909,43.5,56.5,0,0,1.565
Specimen_001_B1_B01.fcs,B1,wildtype,1,CR3022,0,ng_per_mL,40.7,94.1,97.7,98.4,25,13928,94.9,4.82,0.19,0,1.052046842
Specimen_001_B2_B02.fcs,B2,wildtype,1,CR3022,0.00512,ng_per_mL,43.2,93.3,97.5,98.6,75.3,13682,63.1,27,8.22,1.44,1.478748998
Specimen_001_B3_B03.fcs,B3,wildtype,1,CR3022,0.0256,ng_per_mL,43.1,93.7,97.3,98.8,101,14555,55.4,30.8,10.4,3.12,1.611311673
Specimen_001_B4_B04.fcs,B4,wildtype,1,CR3022,0.128,ng_per_mL,41.2,93.2,97.3,98.8,110,14414,52.9,32.1,11.3,3.45,1.652130326
Specimen_001_B5_B05.fcs,B5,wildtype,1,CR3022,0.64,ng_per_mL,42.8,93.2,97.4,99,181,16405,40.1,36.7,15.9,7.09,1.899589137
Specimen_001_B6_B06.fcs,B6,wildtype,1,CR3022,3.2,ng_per_mL,41.9,93,97.2,98.6,319,15765,26.4,37.8,22.5,13,2.221664995
Specimen_001_B7_B07.fcs,B7,wildtype,1,CR3022,16,ng_per_mL,39.7,93.5,97.3,99,1009,15847,8.86,27.2,34.2,29.7,2.847739096
Specimen_001_B8_B08.fcs,B8,wildtype,1,CR3022,80,ng_per_mL,45.6,93.7,97.5,98.7,4024,16057,1.03,10.3,28,60.7,3.483255023
Specimen_001_B9_B09.fcs,B9,wildtype,1,CR3022,400,ng_per_mL,40.2,94.2,97.5,98.1,11888,13889,0.016,0.81,12.1,87,3.862218041
Specimen_001_B10_B10.fcs,B10,wildtype,1,CR3022,2000,ng_per_mL,38,93.5,97,97.6,20870,14293,0,0.17,4.59,95.2,3.950680272
Specimen_001_B11_B11.fcs,B11,wildtype,1,CR3022,10000,ng_per_mL,37.2,94,97.4,97.5,20737,13372,0,0.11,4.96,94.9,3.948184455
Specimen_001_B12_B12.fcs,B12,wildtype,1,CR3022,NA,ng_per_mL,40.8,93.9,97.3,99.3,25.1,16970,94.5,5.16,0.16,0.028,1.055724702
Specimen_001_C1_C01.fcs,C1,wildtype,2,CR3022,0,ng_per_mL,46,94.8,97.9,98.5,24.5,14097,95.6,4.07,0.21,0,1.044953945
Specimen_001_C2_C02.fcs,C2,wildtype,2,CR3022,0.00512,ng_per_mL,46.3,94.5,97.6,98.3,73.4,13220,64.6,25.1,8.33,1.72,1.47037594
